Time;linear.x;linear.y;linear.z;angular.x;angular.y;angular.z
303.459;0.5;0.0;0.0;0.0;0.0;0.0
323.088;0.0;0.0;0.0;0.0;0.0;0.0
327.199;0.5;0.0;0.0;0.0;0.0;0.0
327.837;0.5;0.0;0.0;0.0;0.0;-1.0
328.833;0.5;0.0;0.0;0.0;0.0;0.0
331.648;0.5;0.0;0.0;0.0;0.0;1.0
332.13;0.5;0.0;0.0;0.0;0.0;0.0
352.615;0.55;0.0;0.0;0.0;0.0;0.0
352.973;0.6050000000000001;0.0;0.0;0.0;0.0;0.0
356.017;0.6655000000000002;0.0;0.0;0.0;0.0;0.0
361.711;0.5989500000000002;0.0;0.0;0.0;0.0;0.0
362.185;0.5390550000000002;0.0;0.0;0.0;0.0;0.0
362.84;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
366.884;0.0;0.0;0.0;0.0;0.0;-0.9702990000000004
367.12;0.0;0.0;0.0;0.0;0.0;0.0
376.171;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
378.057;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
378.584;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
380.468;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
380.712;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
416.904;0.0;0.0;0.0;0.0;0.0;0.0
421.359;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
427.408;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
427.624;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
428.586;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
429.062;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
429.308;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
429.727;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
430.105;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
446.788;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
447.343;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
448.906;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
449.177;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
465.468;0.0;0.0;0.0;0.0;0.0;0.0
476.296;0.0;0.0;0.0;0.0;0.0;0.0
477.905;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
480.225;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
481.101;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
483.126;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
483.665;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
507.574;0.5336644500000003;0.0;0.0;0.0;0.0;0.0
507.781;0.5870308950000004;0.0;0.0;0.0;0.0;0.0
507.992;0.6457339845000005;0.0;0.0;0.0;0.0;0.0
508.96;0.7103073829500006;0.0;0.0;0.0;0.0;0.0
509.16;0.7813381212450008;0.0;0.0;0.0;0.0;0.0
509.379;0.8594719333695009;0.0;0.0;0.0;0.0;0.0
509.627;0.945419126706451;0.0;0.0;0.0;0.0;0.0
511.996;0.0;0.0;0.0;0.0;0.0;0.0
516.863;0.0;0.0;0.0;0.0;0.0;0.0
